Timestamp,Program Studi,Angkatan,Apakah Anda aktif dalam berorganisasi/kepanitiaan ?,Jenis Kelamin,Kelompok Usia,Tempat tinggal,Seberapa sering anda mengunjungi KANDEP dalam seminggu?,Kapan Anda mengunjungi KANDEP?,Berapa lama durasi rata-rata Anda menghabiskan waktu di KANDEP?,Tenant mana yang sering anda kunjungi? ,Apakah Anda menggunakan kupon/promo/diskon?,Apakah Anda memiliki lebih dari satu tenant favorit?,Faktor apa yang Anda utamakan dalam pemilihan tenant? ,Berapa rata-rata pengeluaran Anda per kunjungan?,"Jika terjadi perubahan harga menu pada suatu tenant, Seberapa pengaruhnya terhadap Anda?",Berapa kepuasan Anda terhadap makanan di KANDEP?,Berapa kepuasan Anda terhadap kebersihan di KANDEP?,Berapa kepuasan Anda terhadap sistem pelayanan di KANDEP?,Faktor apa yang dapat meningkatkan kepuasan Anda saat mengunjungi KANDEP?,Apakah Anda membeli makanan + minuman di tenant yang sama?,Menu apa yang paling sering Anda pesan?,Apakah fasilitas kandep sudah memadai?,Apa yang perlu ditingkatkan di KANDEP?,"Berdasarkan preferensi Anda, apa kuliner baru yang ingin ditambahkan di KANDEP?"
11/22/2025 10:31:13,IF,2023,Ya,Perempuan,18-22 Tahun,Rumah,<1 kali,Siang (11.00 - 14.59),< 1 Jam,Berkah garasi boy 88,Tidak,Tidak,Harga Makanan Minuman,10.000 - 20.000,3,4,4,4,Harga Makanan Minuman,Ya,"Makanan, Minuman, Snack",4,"Tempat duduk, AC/Kipas angin, Kebersihan, Sistem Pembayaran",Dessert/makanan penutup
11/22/2025 10:32:46,IF,2025,Ya,Perempuan,18-22 Tahun,Rumah,>5 kali,Sore (15.00 - 18.59),1 - 2 Jam,Warkop bang doel,Ya,Ya,Harga Makanan Minuman,10.000 - 20.000,4,4,2,3,Harga Makanan Minuman,Ya,"Makanan, Minuman, Snack",2,"Tempat duduk, AC/Kipas angin, Kebersihan, Sistem Pembayaran, Tenant baru, Sistem Pelayanan",Japanese Food
11/22/2025 10:38:11,IF,2025,Ya,Laki-laki,18-22 Tahun,Rumah,3 kali,Pagi (06.00 - 10.59),>4 Jam,Siomay,Tidak,Ya,Kecepatan dalam pelayanan,10.000 - 20.000,3,5,4,4,Harga Makanan Minuman,Tidak,Makanan,3,"Tempat duduk, AC/Kipas angin, Kebersihan, Tenant baru",Dessert/makanan penutup
11/22/2025 10:42:30,IF,2023,Ya,Perempuan,18-22 Tahun,Rumah,<1 kali,Siang (11.00 - 14.59),< 1 Jam,Berkah garasi boy 88,Tidak,Ya,Harga Makanan Minuman,10.000 - 20.000,4,5,4,4,Harga Makanan Minuman,Tidak,Snack,4,"AC/Kipas angin, Kebersihan, Tenant baru",Dessert/makanan penutup
11/22/2025 10:47:25,SI,2023,Ya,Laki-laki,18-22 Tahun,Rumah,3 kali,Siang (11.00 - 14.59),< 1 Jam,Seblak hot,Tidak,Ya,Reputasi Tenant,10.000 - 20.000,3,4,3,4,Rasa Makanan Minuman,Tidak,"Makanan, Minuman, Snack",3,"Tempat duduk, AC/Kipas angin, Kebersihan",Japanese Food
11/22/2025 10:58:34,IF,2024,Ya,Laki-laki,18-22 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),1 - 2 Jam,Mie ayam jayabaya,Tidak,Ya,Rasa Makanan Minuman,21.000 - 30.000,5,5,3,4,Porsi yang di dapatkan,Ya,"Makanan, Minuman, Snack",2,"AC/Kipas angin, Kebersihan, Tenant baru",Western Food
11/22/2025 11:05:29,IF,2025,Tidak,Laki-laki,18-22 Tahun,Kos/Apartemen,3 kali,Siang (11.00 - 14.59),>4 Jam,Berkah garasi boy 88,Tidak,Tidak,Harga Makanan Minuman,10.000 - 20.000,2,3,1,3,Harga Makanan Minuman,Ya,"Makanan, Minuman",2,"Tempat duduk, AC/Kipas angin, Kebersihan",Western Food
11/22/2025 11:59:17,MN,2023,Ya,Laki-laki,18-22 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),1 - 2 Jam,Siomay,Tidak,Ya,Rasa Makanan Minuman,10.000 - 20.000,3,3,3,4,Rasa Makanan Minuman,Tidak,"Makanan, Minuman",4,Tempat duduk,Western Food
11/22/2025 12:05:35,MN,2023,Tidak,Laki-laki,<18 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),< 1 Jam,Warkop bang doel,Ya,Ya,Harga Makanan Minuman,10.000 - 20.000,1,5,3,5,Porsi yang di dapatkan,Ya,"Makanan, Minuman",4,"Kebersihan, Tenant baru",Western Food
11/22/2025 12:16:01,MN,2021,Ya,Laki-laki,23-30 Tahun,Rumah,3 kali,Siang (11.00 - 14.59),1 - 2 Jam,Siomay,Ya,Ya,Rasa Makanan Minuman,10.000 - 20.000,2,4,5,5,Rasa Makanan Minuman,Ya,Minuman,3,Sistem Pembayaran,Japanese Food
11/22/2025 12:20:53,IF,2025,Ya,Laki-laki,18-22 Tahun,Kos/Apartemen,3 kali,Siang (11.00 - 14.59),1 - 2 Jam,Warkop bang doel,Tidak,Tidak,Harga Makanan Minuman,10.000 - 20.000,3,4,4,4,Porsi yang di dapatkan,Ya,"Makanan, Minuman",2,Sistem Pelayanan,Kopi
11/22/2025 12:34:36,AK,2023,Ya,Laki-laki,18-22 Tahun,Kos/Apartemen,3 kali,Siang (11.00 - 14.59),< 1 Jam,Kantin lani resto,Tidak,Ya,Rasa Makanan Minuman,10.000 - 20.000,5,4,2,3,Rasa Makanan Minuman,Tidak,Makanan,3,"Tempat duduk, Kebersihan, Sistem Pembayaran",Japanese Food
11/22/2025 13:11:02,IF,2025,Ya,Laki-laki,18-22 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),< 1 Jam,Siomay,Tidak,Ya,Harga Makanan Minuman,10.000 - 20.000,5,5,4,5,Porsi yang di dapatkan,Tidak,"Makanan, Minuman",4,"AC/Kipas angin, Kebersihan, Tenant baru",Japanese Food
11/22/2025 13:11:20,AK,2025,Ya,Laki-laki,18-22 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),1 - 2 Jam,Mie ayam jayabaya,Tidak,Ya,Rasa Makanan Minuman,10.000 - 20.000,2,4,3,3,Rasa Makanan Minuman,Ya,"Makanan, Paket Makanan + Minuman",3,"Tempat duduk, AC/Kipas angin",Japanese Food
11/22/2025 13:19:35,MN,2025,Ya,Laki-laki,<18 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),1 - 2 Jam,Siomay,Tidak,Ya,Harga Makanan Minuman,10.000 - 20.000,3,5,4,4,Rasa Makanan Minuman,Ya,Paket Makanan + Minuman,3,"AC/Kipas angin, Kebersihan, Sistem Pembayaran",Dessert/makanan penutup
11/22/2025 13:50:55,MN,2024,Ya,Perempuan,18-22 Tahun,Rumah,>5 kali,Pagi (06.00 - 10.59),1 - 2 Jam,Warkop bang doel,Tidak,Tidak,Harga Makanan Minuman,10.000 - 20.000,3,3,2,4,Harga Makanan Minuman,Ya,"Makanan, Minuman",2,"Tempat duduk, AC/Kipas angin, Kebersihan",Kopi
11/22/2025 17:21:00,IF,2025,Tidak,Laki-laki,<18 Tahun,Kos/Apartemen,>5 kali,Pagi (06.00 - 10.59),3 Jam,Warkop bang doel,Tidak,Ya,Harga Makanan Minuman,> 30.000,5,4,5,4,Harga Makanan Minuman,Ya,"Makanan, Minuman",4,"Tempat duduk, AC/Kipas angin, Kebersihan",Dessert/makanan penutup
11/22/2025 17:50:05,IF,2025,Ya,Laki-laki,18-22 Tahun,Rumah,>5 kali,Sore (15.00 - 18.59),1 - 2 Jam,Warkop bang doel,Tidak,Ya,Reputasi Tenant,10.000 - 20.000,4,5,3,4,Rasa Makanan Minuman,Tidak,"Makanan, Minuman",3,AC/Kipas angin,Vegetarian Food
11/22/2025 18:05:00,IF,2023,Ya,Perempuan,18-22 Tahun,Rumah,2 kali,Siang (11.00 - 14.59),< 1 Jam,Mie ayam jayabaya,Tidak,Ya,Rasa Makanan Minuman,10.000 - 20.000,4,4,3,4,Kecepatan dalam pelayanan,Tidak,"Makanan, Minuman, Snack",4,"AC/Kipas angin, Kebersihan",Japanese Food
11/22/2025 21:13:32,MN,2023,Ya,Laki-laki,18-22 Tahun,Rumah,3 kali,Siang (11.00 - 14.59),1 - 2 Jam,Warkop bang doel,Tidak,Ya,Harga Makanan Minuman,10.000 - 20.000,3,5,3,4,Harga Makanan Minuman,Tidak,Minuman,3,"Tempat duduk, AC/Kipas angin, Kebersihan",Kangen geprek andrew
11/22/2025 21:17:31,PRW,2025,Ya,Laki-laki,<18 Tahun,Kos/Apartemen,>5 kali,Sore (15.00 - 18.59),>4 Jam,Warkop bang doel,Tidak,Ya,Harga Makanan Minuman,10.000 - 20.000,4,5,4,5,Harga Makanan Minuman,Ya,Makanan,2,"Tempat duduk, AC/Kipas angin, Kebersihan, Tenant baru",Western Food
11/24/2025 12:08:59,SI,2023,Ya,Perempuan,18-22 Tahun,Rumah,2 kali,Siang (11.00 - 14.59),1 - 2 Jam,Kantin lani resto,Tidak,Ya,Rasa Makanan Minuman,10.000 - 20.000,1,5,3,5,Rasa Makanan Minuman,Ya,"Makanan, Minuman",5,"Tempat duduk, AC/Kipas angin, Kebersihan, Sistem Pembayaran, Tenant baru",Dessert/makanan penutup
11/24/2025 12:16:24,MN,2024,Ya,Perempuan,18-22 Tahun,Rumah,3 kali,Siang (11.00 - 14.59),1 - 2 Jam,Warung bang kumis,Tidak,Ya,Rasa Makanan Minuman,21.000 - 30.000,5,5,2,5,Harga Makanan Minuman,Ya,Paket Makanan + Minuman,3,"AC/Kipas angin, tempat cuci tangan",Dessert/makanan penutup
11/24/2025 12:20:29,SI,2024,Tidak,Perempuan,18-22 Tahun,Rumah,3 kali,Siang (11.00 - 14.59),< 1 Jam,Warkop bang doel,Tidak,Ya,Rasa Makanan Minuman,10.000 - 20.000,4,3,3,4,Porsi yang di dapatkan,Tidak,"Minuman, Snack",3,"Tempat duduk, AC/Kipas angin, Sistem Pembayaran, Sistem Pelayanan",Dessert/makanan penutup
11/24/2025 12:22:12,MN,2023,Tidak,Perempuan,18-22 Tahun,Rumah,3 kali,Sore (15.00 - 18.59),1 - 2 Jam,Warkop bang doel,Tidak,Ya,Reputasi Tenant,10.000 - 20.000,4,4,3,4,Kecepatan dalam pelayanan,Tidak,"Makanan, Snack",2,"Tempat duduk, AC/Kipas angin, Kebersihan, Tenant baru",Rice bowl 
11/24/2025 12:52:55,IF,2022,Ya,Laki-laki,18-22 Tahun,Rumah,3 kali,Sore (15.00 - 18.59),>4 Jam,Warkop bang doel,Tidak,Ya,Harga Makanan Minuman,21.000 - 30.000,2,4,2,3,Harga Makanan Minuman,Ya,"Makanan, Minuman, Snack, Paket Makanan + Minuman",2,"Tempat duduk, Kebersihan, Sistem Pembayaran",Kopi
11/24/2025 12:53:23,IF,2021,Tidak,Perempuan,18-22 Tahun,Rumah,>5 kali,Sore (15.00 - 18.59),>4 Jam,Warkop bang doel,Tidak,Tidak,Rasa Makanan Minuman,> 30.000,5,5,5,5,Rasa Makanan Minuman,Ya,Paket Makanan + Minuman,5,Sistem Pelayanan,Kopi
11/24/2025 13:00:48,IF,2021,Ya,Laki-laki,18-22 Tahun,Rumah,<1 kali,Malam (19.00 keatas),1 - 2 Jam,Warkop bang doel,Tidak,Ya,Harga Makanan Minuman,21.000 - 30.000,3,4,2,3,Harga Makanan Minuman,Ya,"Makanan, Minuman, Snack",3,"Tempat duduk, AC/Kipas angin",Kopi
11/24/2025 13:36:11,SI,2024,Tidak,Laki-laki,18-22 Tahun,Rumah,>5 kali,Sore (15.00 - 18.59),1 - 2 Jam,Berkah garasi boy 88,Tidak,Ya,Porsi yang di dapatkan,21.000 - 30.000,4,4,2,5,Harga Makanan Minuman,Tidak,"Makanan, Minuman, Snack",2,"Tempat duduk, AC/Kipas angin, Kebersihan",Dessert/makanan penutup
11/24/2025 13:56:48,IK,2024,Ya,Perempuan,18-22 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),1 - 2 Jam,Berkah garasi boy 88,Tidak,Tidak,Harga Makanan Minuman,10.000 - 20.000,3,4,3,3,Harga Makanan Minuman,Ya,Paket Makanan + Minuman,3,"Tempat duduk, AC/Kipas angin, Kebersihan",Dessert/makanan penutup
11/24/2025 14:00:18,IK,2022,Ya,Perempuan,18-22 Tahun,Kos/Apartemen,3 kali,Siang (11.00 - 14.59),1 - 2 Jam,Berkah garasi boy 88,Tidak,Ya,Harga Makanan Minuman,21.000 - 30.000,3,4,3,3,Harga Makanan Minuman,Tidak,Makanan,2,"AC/Kipas angin, Kebersihan, Sistem Pembayaran",Japanese Food
11/24/2025 14:13:11,SI,2024,Ya,Perempuan,18-22 Tahun,Kos/Apartemen,>5 kali,Siang (11.00 - 14.59),< 1 Jam,Kantin ibu eti,Tidak,Tidak,Harga Makanan Minuman,10.000 - 20.000,3,3,3,3,Harga Makanan Minuman,Tidak,"Makanan, Minuman",3,"AC/Kipas angin, Sistem Pembayaran, Tenant baru",Dessert/makanan penutup
11/24/2025 14:46:55,DKV,2023,Ya,Perempuan,18-22 Tahun,Kos/Apartemen,3 kali,Siang (11.00 - 14.59),< 1 Jam,Berkah garasi boy 88,Tidak,Ya,Rasa Makanan Minuman,21.000 - 30.000,4,4,3,4,Porsi yang di dapatkan,Tidak,Paket Makanan + Minuman,3,"Tempat duduk, Kebersihan",Vegetarian Food
11/24/2025 15:25:58,AK,2023,Ya,Perempuan,18-22 Tahun,Kos/Apartemen,>5 kali,Siang (11.00 - 14.59),1 - 2 Jam,Mie ayam jayabaya,Tidak,Ya,Rasa Makanan Minuman,21.000 - 30.000,4,5,2,5,Rasa Makanan Minuman,Ya,Paket Makanan + Minuman,3,Tenant baru,Dessert/makanan penutup
11/24/2025 15:42:05,IK,2024,Tidak,Perempuan,18-22 Tahun,Kos/Apartemen,<1 kali,Siang (11.00 - 14.59),< 1 Jam,Bakso malang,Tidak,Ya,Harga Makanan Minuman,10.000 - 20.000,4,4,4,3,Rasa Makanan Minuman,Tidak,Makanan,3,"Tempat duduk, AC/Kipas angin",Dessert/makanan penutup
11/24/2025 15:50:21,DKV,2023,Tidak,Laki-laki,18-22 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),1 - 2 Jam,Mie ayam jayabaya,Tidak,Tidak,Rasa Makanan Minuman,10.000 - 20.000,5,3,3,3,Harga Makanan Minuman,Tidak,Makanan,1,Kebersihan,Japanese Food
11/24/2025 18:47:11,IK,2021,Ya,Perempuan,18-22 Tahun,Rumah,3 kali,Sore (15.00 - 18.59),>4 Jam,Warkop bang doel,Tidak,Ya,Rasa Makanan Minuman,> 30.000,4,5,3,5,Rasa Makanan Minuman,Ya,"Minuman, Snack",2,"AC/Kipas angin, Kebersihan",Japanese Food
11/24/2025 20:40:26,MN,2023,Ya,Laki-laki,18-22 Tahun,Rumah,>5 kali,Pagi (06.00 - 10.59),< 1 Jam,Warkop bang doel,Tidak,Ya,Harga Makanan Minuman,21.000 - 30.000,2,4,2,4,Harga Makanan Minuman,Tidak,"Makanan, Minuman",2,"Tempat duduk, AC/Kipas angin",Dessert/makanan penutup
11/24/2025 23:10:14,MN,2023,Tidak,Perempuan,18-22 Tahun,Rumah,<1 kali,Siang (11.00 - 14.59),< 1 Jam,Mie ayam jayabaya,Tidak,Ya,Rasa Makanan Minuman,21.000 - 30.000,1,4,4,4,Harga Makanan Minuman,Tidak,"Makanan, Minuman, Snack",3,"AC/Kipas angin, Sistem Pembayaran, Tenant baru",Japanese Food
11/24/2025 23:31:13,PSG,2025,Ya,Perempuan,18-22 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),3 Jam,Warkop bang doel,Tidak,Ya,Rasa Makanan Minuman,10.000 - 20.000,3,4,2,3,Rasa Makanan Minuman,Ya,Makanan,3,"AC/Kipas angin, Kebersihan",Japanese Food
11/25/2025 8:28:38,MN,2023,Tidak,Perempuan,18-22 Tahun,Rumah,3 kali,Sore (15.00 - 18.59),1 - 2 Jam,Warkop bang doel,Tidak,Ya,Rasa Makanan Minuman,10.000 - 20.000,4,3,2,3,Kecepatan dalam pelayanan,Tidak,"Makanan, Snack",2,"Tempat duduk, AC/Kipas angin, Kebersihan",Rice bowl
11/25/2025 11:32:45,IK,2022,Ya,Perempuan,18-22 Tahun,Rumah,<1 kali,Siang (11.00 - 14.59),< 1 Jam,Berkah garasi boy 88,Tidak,Tidak,Rasa Makanan Minuman,< Rp10.000,5,5,1,5,Rasa Makanan Minuman,Ya,Makanan,1,"Tempat duduk, AC/Kipas angin",Dessert/makanan penutup
11/25/2025 11:44:37,AK,2021,Tidak,Perempuan,18-22 Tahun,Kos/Apartemen,2 kali,Malam (19.00 keatas),3 Jam,Warkop bang doel,Tidak,Ya,Kecepatan dalam pelayanan,10.000 - 20.000,2,5,3,5,Harga Makanan Minuman,Ya,"Makanan, Minuman",3,"AC/Kipas angin, Kebersihan, Sistem Pembayaran",Dessert/makanan penutup
11/25/2025 17:56:35,MN,2024,Ya,Perempuan,18-22 Tahun,Kos/Apartemen,>5 kali,Pagi (06.00 - 10.59),4 Jam,Warkop bang doel,Ya,Ya,Harga Makanan Minuman,10.000 - 20.000,1,3,2,3,Harga Makanan Minuman,Ya,"Makanan, Minuman",2,"Tempat duduk, AC/Kipas angin, Kebersihan",Vegetarian Food
11/25/2025 18:07:17,IK,2023,Ya,Laki-laki,18-22 Tahun,Rumah,3 kali,Siang (11.00 - 14.59),1 - 2 Jam,Warkop bang doel,Tidak,Ya,Rasa Makanan Minuman,10.000 - 20.000,4,4,3,4,Porsi yang di dapatkan,Ya,"Makanan, Minuman, Snack",3,"AC/Kipas angin, Kebersihan, Sistem Pembayaran",Japanese Food
11/25/2025 18:17:28,AK,2021,Ya,Laki-laki,18-22 Tahun,Rumah,2 kali,Malam (19.00 keatas),3 Jam,Kantin babeh,Tidak,Ya,Harga Makanan Minuman,> 30.000,2,4,2,2,Harga Makanan Minuman,Tidak,"Makanan, Minuman, Snack",2,"Tempat duduk, Kebersihan",Japanese Food
11/25/2025 18:31:28,SI,2023,Tidak,Laki-laki,18-22 Tahun,Rumah,2 kali,Sore (15.00 - 18.59),3 Jam,Kantin babeh,Tidak,Ya,Harga Makanan Minuman,10.000 - 20.000,1,3,1,4,Harga Makanan Minuman,Ya,Minuman,2,"AC/Kipas angin, Kebersihan",Japanese Food
11/25/2025 18:35:38,DKV,2024,Tidak,Laki-laki,18-22 Tahun,Rumah,2 kali,Sore (15.00 - 18.59),3 Jam,Warkop bang doel,Tidak,Ya,Rasa Makanan Minuman,10.000 - 20.000,3,3,3,3,Reputasi Tenant,Ya,Minuman,2,"AC/Kipas angin, Kebersihan, Sistem Pembayaran",Dessert/makanan penutup
11/25/2025 19:25:58,AK,2021,Tidak,Laki-laki,18-22 Tahun,Kos/Apartemen,3 kali,Sore (15.00 - 18.59),>4 Jam,Warkop bang doel,Tidak,Tidak,Harga Makanan Minuman,> 30.000,3,3,3,3,Harga Makanan Minuman,Ya,"Makanan, Minuman, Snack, Paket Makanan + Minuman",1,"AC/Kipas angin, Kebersihan",Kopi
11/25/2025 19:55:35,MN,2024,Tidak,Perempuan,18-22 Tahun,Rumah,3 kali,Siang (11.00 - 14.59),1 - 2 Jam,Berkah garasi boy 88,Tidak,Ya,Harga Makanan Minuman,10.000 - 20.000,3,4,4,4,Rasa Makanan Minuman,Tidak,Makanan,3,"Tempat duduk, AC/Kipas angin, Kebersihan, Tenant baru",Western Food
11/25/2025 20:01:53,SI,2023,Ya,Laki-laki,18-22 Tahun,Rumah,2 kali,Malam (19.00 keatas),1 - 2 Jam,Warkop bang doel,Tidak,Ya,Porsi yang di dapatkan,> 30.000,3,5,3,2,Porsi yang di dapatkan,Tidak,Paket Makanan + Minuman,2,Kebersihan,Vegetarian Food
11/25/2025 20:02:47,IF,2023,Ya,Laki-laki,18-22 Tahun,Rumah,2 kali,Siang (11.00 - 14.59),< 1 Jam,Seblak hot,Tidak,Ya,Harga Makanan Minuman,10.000 - 20.000,3,5,3,4,Harga Makanan Minuman,Tidak,"Makanan, Minuman",3,"AC/Kipas angin, Kebersihan",Western Food
11/25/2025 20:03:38,IF,2023,Ya,Laki-laki,18-22 Tahun,Rumah,3 kali,Siang (11.00 - 14.59),< 1 Jam,Warkop bang doel,Tidak,Ya,Rasa Makanan Minuman,21.000 - 30.000,3,4,4,4,Rasa Makanan Minuman,Ya,"Makanan, Minuman",4,AC/Kipas angin,Dessert/makanan penutup
11/25/2025 20:44:20,IK,2022,Tidak,Perempuan,18-22 Tahun,Rumah,<1 kali,Siang (11.00 - 14.59),< 1 Jam,Kantin lani resto,Tidak,Tidak,Rasa Makanan Minuman,10.000 - 20.000,4,4,4,4,Rasa Makanan Minuman,Ya,Makanan,4,"AC/Kipas angin, Kebersihan",Western Food
11/25/2025 20:46:45,IK,2022,Tidak,Perempuan,18-22 Tahun,Rumah,2 kali,Siang (11.00 - 14.59),< 1 Jam,Mie ayam jayabaya,Tidak,Tidak,Rasa Makanan Minuman,10.000 - 20.000,4,4,3,4,Porsi yang di dapatkan,Tidak,Makanan,4,Kebersihan,Dessert/makanan penutup
11/25/2025 20:48:07,SI,2022,Tidak,Laki-laki,18-22 Tahun,Rumah,<1 kali,Siang (11.00 - 14.59),< 1 Jam,Twolins bakery,Tidak,Tidak,Rasa Makanan Minuman,10.000 - 20.000,1,4,4,4,Rasa Makanan Minuman,Ya,Makanan,4,"AC/Kipas angin, Kebersihan, Tenant baru",Japanese Food
11/25/2025 22:19:26,DKV,2023,Ya,Laki-laki,18-22 Tahun,Rumah,<1 kali,Sore (15.00 - 18.59),1 - 2 Jam,Mie ayam jayabaya,Tidak,Tidak,Rasa Makanan Minuman,10.000 - 20.000,3,5,5,5,Kecepatan dalam pelayanan,Ya,Makanan,3,Tenant baru,Kopi
11/26/2025 0:50:34,PRW,2024,Tidak,Laki-laki,23-30 Tahun,Kos/Apartemen,<1 kali,Sore (15.00 - 18.59),3 Jam,Warkop bang doel,Tidak,Ya,Harga Makanan Minuman,21.000 - 30.000,4,4,2,3,Harga Makanan Minuman,Tidak,"Makanan, Minuman",2,"Tempat duduk, AC/Kipas angin, Kebersihan, Sistem Pembayaran, Tenant baru",Western Food
11/26/2025 0:59:16,IK,2025,Ya,Perempuan,18-22 Tahun,Rumah,>5 kali,Pagi (06.00 - 10.59),< 1 Jam,Warkop bang doel,Tidak,Ya,Harga Makanan Minuman,21.000 - 30.000,5,2,3,3,Reputasi Tenant,Ya,Minuman,1,AC/Kipas angin,Dessert/makanan penutup
11/26/2025 0:59:23,IK,< 2020,Tidak,Laki-laki,23-30 Tahun,Rumah,>5 kali,Pagi (06.00 - 10.59),1 - 2 Jam,Warkop bang doel,Tidak,Tidak,Kecepatan dalam pelayanan,21.000 - 30.000,5,2,3,3,Reputasi Tenant,Ya,"Minuman, Paket Makanan + Minuman",1,AC/Kipas angin,Japanese Food